id_117	user_id	handle
MH11722101	1345788865911656454	RepBentz
MH11722100	4870048156	JakeAuch
MH11722100	1330278736554582016	RepAuchincloss
MH11721990	1276232539510919168	RepJacobs
MH11721989	1267841066335682562	RepTiffany
MH11721988	1262531473057423361	RepMikeGarcia
MH11721988	1114694580232904704	ElectMikeGarcia
MH11721987	1173978070535024642	RepGregMurphy
MH11721986	1912799826	jdanbishop
MH11721985	1136060761422405633	RepFredKeller
MH11721984	1080854935535800320	RepRonWright
MH11721983	1017819745880543238	RepWexton
MH11721983	2212905492	JenniferWexton
MH11721979	1080539438508400642	RepUnderwood
MH11721979	872156132688711681	LaurenUnderwood
MH11721978	1080573351914061825	RepDavidTrone
MH11721977	1079802482640019456	RepLoriTrahan
MH11721975	1079769536730140672	RepRashida
MH11721975	435331179	RashidaTlaib
MH11721974	1079770852302958592	reptimmons
MH11721974	1079770852302958592	RepTimmons
MH11721973	1075040139351597056	RepVanTaylor
MH11721972	1076161611033968640	RepHaleyStevens
MH11721972	391445643	HaleyLive
MH11721971	1083125649609506816	RepGregSteube
MH11721970	1075205691621720064	RepBryanSteil
MH11721969	1075830599007510535	RepPeteStauber
MH11721968	1080885078425784320	RepGregStanton
MH11721966	1078771401497161728	RepSpanberger
MH11721966	882958562296819714	SpanbergerVA07
MH11721965	1078401427347857408	RepSlotkin
