screen_name	user_id	politician	phi	phi_2
cnn	759251	0	0.8387843095915973	-0.6098444735318587
cnnbrk	428333	0	0.809119546708731	-0.6051808321528036
cnnmoney	16184358	0	0.5924663467173209	-0.47884474440786495
collchris	20414217	0	0.6906979488567688	-0.2561822210618695
collegedems	19824430	0	0.9878385548517462	0.33134961017931674
colorofchange	27793335	0	1.1789407412374473	-0.0012981191012094513
conanobrien	115485051	0	0.8797013920269978	-0.6626786758163106
concreteczar	260920107	0	-1.4440845060554608	-0.9591348229575029
congbillposey	25086658	1	-0.36191894091975513	2.3025479799889776
congculberson	24183358	1	-0.4336871726603836	2.1729546673758477
conghuelskamp	233761277	1	-0.8284482695720745	1.4759170947143876
congpalazzo	299883942	1	-0.4328827617354482	2.4161982191075193
congressmandan	242761889	1	-0.8362950893922131	0.9717027727549604
congressmangt	18967498	1	-0.21585918638037765	2.5436973604491104
conservalidity	19850687	0	-1.4051039052744998	-0.6884052191262768
conservative_vw	346924655	0	-1.4105467797937863	-0.9384355373420853
cornelwest	36743910	0	1.090846510083373	-0.3039055608109572
corybooker	15808765	1	1.0887654199963392	-0.3484225054035722
countdownko	242911974	0	1.1525217400563261	-0.21862524824362844
creepingsharia	15650882	0	-1.353774753738071	-0.7423488267315762
crooksandliars	14513611	0	1.0955795989924961	0.08629939629516772
crowleycnn	2995408587	0	NA	NA
