"meta_id"	"user_id"	"screen_name"	"moc_117"	"moc_116"	"pundit"	"covid_elite"	"president"	"media"	"candidate"	"governor"	"official"
"MH11722112"	"1343258042704527362"	"RepPatFallon"	1	0	0	0	0	0	0	0	0
"MH11722112"	"256157258"	"FallonForTexas"	1	0	0	0	0	0	0	0	0
"MH11722111"	"96015533"	"ByronDonalds"	1	0	0	0	0	0	0	0	0
"MH11722109"	"1344007696555663360"	"RepCawthorn"	1	0	0	0	0	0	0	0	0
"MH11722109"	"1207874097251639296"	"CawthornforNC"	1	0	0	0	0	0	0	0	0
"MH11722108"	"2237925464"	"CarlForAlabama"	1	0	0	0	0	0	0	0	0
"MH11722108"	"1341091420439015424"	"RepJerryCarl"	1	0	0	0	0	0	0	0	0
"MH11722107"	"1214912699311837184"	"Kat_Cammack"	1	0	0	0	0	0	0	0	0
"MH11722107"	"1344325638983987201"	"RepKatCammack"	1	0	0	0	0	0	0	0	0
"MH11722106"	"1002630999052865536"	"RepCori"	1	0	0	0	0	0	0	0	0
"MH11722106"	"4696552878"	"CoriBush"	1	0	0	1	0	0	0	0	0
"MH11722105"	"1138076821533155328"	"JamaalBowmanNY"	1	0	0	0	0	0	0	0	0
"MH11722105"	"1344389506963808264"	"RepBowman"	1	0	0	0	0	0	0	0	0
"MH11722104"	"1343620645452595200"	"RepBourdeaux"	1	0	0	0	0	0	0	0	0
"MH11722104"	"881222783170228224"	"Carolyn4GA7"	1	0	0	0	0	0	0	0	0
"MH11722103"	"1201670995435646976"	"laurenboebert"	1	0	0	1	0	0	0	0	0
"MH11722103"	"1342989756611907584"	"RepBoebert"	1	0	0	0	0	0	0	0	0
"MH11722102"	"32289500"	"stephaniebice"	1	0	0	0	0	0	0	0	0
"MH11722102"	"1344260196227555334"	"RepBice"	1	0	0	0	0	0	0	0	0
"MH11722101"	"1216104257989963776"	"CliffBentz"	1	0	0	0	0	0	0	0	0
"MH11722101"	"1345788865911656454"	"RepBentz"	1	0	0	0	0	0	0	0	0
"MH11722100"	"4870048156"	"JakeAuch"	1	0	0	0	0	0	0	0	0
"MH11722100"	"1330278736554582016"	"RepAuchincloss"	1	0	0	0	0	0	0	0	0
"MH11721990"	"1276232539510919168"	"RepJacobs"	1	0	0	0	0	0	0	0	0
"MH11721989"	"1267841066335682562"	"RepTiffany"	1	0	0	0	0	0	0	0	0
"MH11721988"	"1262531473057423361"	"RepMikeGarcia"	1	0	0	0	0	0	0	0	0
"MH11721988"	"1114694580232904704"	"ElectMikeGarcia"	1	0	0	0	0	0	0	0	0
"MH11721987"	"1173978070535024642"	"RepGregMurphy"	1	1	0	0	0	0	0	0	0
"MH11721986"	"1912799826"	"jdanbishop"	1	1	0	0	0	0	0	0	0
"MH11721985"	"1136060761422405633"	"RepFredKeller"	1	1	0	0	0	0	0	0	0
"MH11721984"	"1080854935535800320"	"RepRonWright"	1	1	0	0	0	0	0	0	0
"MH11721983"	"1017819745880543238"	"RepWexton"	1	1	0	0	0	0	0	0	0
"MH11721983"	"2212905492"	"JenniferWexton"	1	1	0	0	0	0	0	0	0
"MH11721979"	"1080539438508400642"	"RepUnderwood"	1	1	0	0	0	0	0	0	0
"MH11721979"	"872156132688711681"	"LaurenUnderwood"	1	1	0	0	0	0	0	0	0
"MH11721978"	"1080573351914061825"	"RepDavidTrone"	1	1	0	0	0	0	0	0	0
"MH11721977"	"1079802482640019456"	"RepLoriTrahan"	1	1	0	0	0	0	0	0	0
"MH11721975"	"1079769536730140672"	"RepRashida"	1	1	0	0	0	0	0	0	0
"MH11721975"	"435331179"	"RashidaTlaib"	1	1	0	1	0	0	0	0	0
"MH11721974"	"1079770852302958592"	"reptimmons"	1	1	0	0	0	0	0	0	0
"MH11721974"	"1079770852302958592"	"RepTimmons"	1	1	0	0	0	0	0	0	0
"MH11721973"	"1075040139351597056"	"RepVanTaylor"	1	1	0	0	0	0	0	0	0
"MH11721972"	"1076161611033968640"	"RepHaleyStevens"	1	1	0	0	0	0	0	0	0
