"","user_id","handle","voteview_id","type","icpsr","bioname","party_code","cqlabel","state_abbrev","chamber","seo_name","district_code","nominate.dim1"
"117",50055701,"mittromney","MS11641902","congress",41902,"ROMNEY, Willard Mitt (Mitt)",200,"(UT)","UT","Senate","willard-mitt-mitt-romney",0,0.37
"118",50152441,"repmcclintock","MH11620903","congress",20903,"McCLINTOCK, Tom",200,"(CA-04)","CA","House","tom-mcclintock",4,0.719
"119",50452197,"repjohnlarson","MH11629908","congress",29908,"LARSON, John B.",100,"(CT-01)","CT","House","john-b-larson",1,-0.398
"120",51228911,"repmiketurner","MH11620342","congress",20342,"TURNER, Michael R.",200,"(OH-10)","OH","House","michael-r-turner",10,0.27
"121",52503751,"drphilroe","MH11620947","congress",20947,"ROE, David P. (Phil)",200,"(TN-01)","TN","House","david-p-phil-roe",1,0.485
"122",54412900,"devinnunes","MH11620307","congress",20307,"NUNES, Devin",200,"(CA-22)","CA","House","devin-nunes",22,0.449
"123",55677432,"billcassidy","MS11620919","congress",20919,"CASSIDY, Bill",200,"(LA)","LA","Senate","bill-cassidy",0,0.454
"124",56864092,"repmikequigley","MH11620954","congress",20954,"QUIGLEY, Mike",100,"(IL-05)","IL","House","mike-quigley",5,-0.321
"125",58579942,"mattgaetz","MH11621719","congress",21719,"GAETZ, Matthew L. II",200,"(FL-01)","FL","House","matthew-l-ii-gaetz",1,0.621
"126",58928690,"repadamsmith","MH11629768","congress",29768,"SMITH, Adam",100,"(WA-09)","WA","House","adam-smith",9,-0.284
"127",59969802,"toddyoungin","MS11621133","congress",21133,"YOUNG, Todd",200,"(IN)","IN","Senate","todd-young",0,0.477
"128",60828944,"senatortomudall","MS11629924","congress",29924,"UDALL, Thomas (Tom)",100,"(NM)","NM","Senate","thomas-tom-udall",0,-0.452
"129",65541270,"teddeutch","MH11620959","congress",20959,"DEUTCH, Theodore E. (Ted)",100,"(FL-22)","FL","House","theodore-e-ted-deutch",22,-0.399
"130",66804351,"seancasten","MH11621906","congress",21906,"CASTEN, Sean",100,"(IL-06)","IL","House","sean-casten",6,-0.402
"131",72198806,"sengillibrand","MS11620735","congress",20735,"GILLIBRAND, Kirsten",100,"(NY)","NY","Senate","kirsten-gillibrand",0,-0.473
"132",74508260,"billpascrell","MH11629741","congress",29741,"PASCRELL, William J., Jr.",100,"(NJ-09)","NJ","House","william-j-pascrell-jr",9,-0.366
"133",75364211,"senpatroberts","MS11614852","congress",14852,"ROBERTS, Charles Patrick (Pat)",200,"(KS)","KS","Senate","charles-patrick-pat-roberts",0,0.413
"134",76132891,"congmikesimpson","MH11629910","congress",29910,"SIMPSON, Michael K.",200,"(ID-02)","ID","House","michael-k-simpson",2,0.296
"135",76452765,"robert_aderholt","MH11629701","congress",29701,"ADERHOLT, Robert",200,"(AL-04)","AL","House","robert-aderholt",4,0.367
"136",76456274,"senstabenow","MS11629732","congress",29732,"STABENOW, Deborah Ann",100,"(MI)","MI","Senate","deborah-ann-stabenow",0,-0.34
"137",76649729,"senalexander","MS11640304","congress",40304,"ALEXANDER, Lamar",200,"(TN)","TN","Senate","lamar-alexander",0,0.324
"138",78403308,"senatorisakson","MS11629909","congress",29909,"ISAKSON, Johnny",200,"(GA)","GA","Senate","johnny-isakson",0,0.402
"139",78445977,"gerryconnolly","MH11620952","congress",20952,"CONNOLLY, Gerald E. (Gerry)",100,"(VA-11)","VA","House","gerald-e-gerry-connolly",11,-0.306
"140",80612021,"jacksonleetx18","MH11629573","congress",29573,"JACKSON LEE, Sheila",100,"(TX-18)","TX","House","sheila-jackson-lee",18,-0.46
