"","source","meta_id","user_id","screen_name"
"332","members_of_congress","MH11721757","34715823","debbielesko"
"333","members_of_congress","MH11721756","984456621417000960","repconorlamb"
"334","members_of_congress","MH11721755","931614483050414080","repjohncurtis"
"335","members_of_congress","MH11721754","2371339658","repjimmygomez"
"336","members_of_congress","MH11721754","398193180","jimmygomezca"
"337","members_of_congress","MH11721753","880480631108644864","repralphnorman"
"338","members_of_congress","MH11721750","854715071116849157","repronestes"
"339","members_of_congress","MH11721747","816705409486618624","reptomsuozzi"
"340","members_of_congress","MH11721746","818713465653051392","repdarrensoto"
"341","members_of_congress","MH11721745","41417564","repsmucker"
"342","members_of_congress","MH11721744","828977216595849216","reprutherfordfl"
"343","members_of_congress","MS11721743","818554054309715969","senjackyrosen"
"344","members_of_congress","MH11721741","806906355214852096","repraskin"
"345","members_of_congress","MH11721740","796736612554117120","repjimmypanetta"
"346","members_of_congress","MH11721739","808416682972770304","repohalleran"
"347","members_of_congress","MH11721738","796183515998068736","repstephmurphy"
"348","members_of_congress","MH11721736","816181091673448448","repmceachin"
"349","members_of_congress","MH11721735","814103950404239360","repbrianmast"
"350","members_of_congress","MS11721734","1240107944","rogermarshallmd"
"351","members_of_congress","MH11721732","818472418620608512","repallawsonjr"
"352","members_of_congress","MH11721731","816012124505931780","repdavidkustoff"
"353","members_of_congress","MH11721730","814179031956488192","congressmanraja"
"354","members_of_congress","MH11721728","816298918468259841","reprokhanna"
"355","members_of_congress","MH11721728","771152516","rokhanna"
"356","members_of_congress","MH11721727","827279765287559171","repmikejohnson"
"357","members_of_congress","MH11721726","815733290955112448","repjayapal"
"358","members_of_congress","MH11721726","193441812","pramilajayapal"
"359","members_of_congress","MH11721725","811986281177772032","reptrey"
"360","members_of_congress","MH11721724","843636970538618880","repclayhiggins"
"361","members_of_congress","MH11721723","815310506596691968","repjoshg"
"362","members_of_congress","MH11721722","818536152588238849","repgonzalez"
"363","members_of_congress","MH11721720","815966620300480514","repgallagher"
